[2024-02-27 13:43:54.270] 1.56
[2024-02-27 13:43:54.270] 0.63
[2024-02-27 13:43:54.270] 0.31
[2024-02-27 13:43:54.270] 0.47
[2024-02-27 13:43:54.270] 0.63
[2024-02-27 13:43:54.270] 0.41
[2024-02-27 13:43:54.270] 0.25
[2024-02-27 13:43:54.270] 0.59
[2024-02-27 13:43:54.270] 0.91
[2024-02-27 13:43:54.270] 0.72
[2024-02-27 13:43:54.270] -0.12
[2024-02-27 13:43:54.270] -1.22
[2024-02-27 13:43:54.270] -1.84
[2024-02-27 13:43:54.270] -1.56
[2024-02-27 13:43:54.270] -0.47
[2024-02-27 13:43:54.270] 0.97
[2024-02-27 13:43:54.270] 2.06
[2024-02-27 13:43:54.270] 1.91
[2024-02-27 13:43:54.270] 0.66
[2024-02-27 13:43:54.270] -0.44
[2024-02-27 13:43:54.270] -0.91
[2024-02-27 13:43:54.270] -0.44
[2024-02-27 13:43:54.270] 0.28
[2024-02-27 13:43:54.270] 0.53
[2024-02-27 13:43:54.270] 0.06
[2024-02-27 13:43:54.270] -0.81
[2024-02-27 13:43:54.270] -1.12
[2024-02-27 13:43:54.270] -0.56
[2024-02-27 13:43:54.270] 0.44
[2024-02-27 13:43:54.270] 0.72
[2024-02-27 13:43:54.270] 0.03
[2024-02-27 13:43:54.270] -0.69
[2024-02-27 13:43:54.270] -0.63
[2024-02-27 13:43:54.270] 0.50
[2024-02-27 13:43:54.270] 1.88
[2024-02-27 13:43:54.270] 2.72
[2024-02-27 13:43:54.270] 2.56
[2024-02-27 13:43:54.270] 1.78
[2024-02-27 13:43:54.270] 0.78
[2024-02-27 13:43:54.270] 0.31
[2024-02-27 13:43:54.270] 0.34
[2024-02-27 13:43:54.270] 0.34
[2024-02-27 13:43:54.270] 0.12
[2024-02-27 13:43:54.270] -0.44
[2024-02-27 13:43:54.270] -0.94
[2024-02-27 13:43:54.270] -0.75
[2024-02-27 13:43:54.270] -0.19
[2024-02-27 13:43:54.270] 0.34
[2024-02-27 13:43:54.270] 0.88
[2024-02-27 13:43:54.270] 1.56
[2024-02-27 13:43:54.270] 1.91
[2024-02-27 13:43:54.270] 1.44
[2024-02-27 13:43:54.270] 0.25
[2024-02-27 13:43:54.270] -0.91
[2024-02-27 13:43:54.270] -1.06
[2024-02-27 13:43:54.270] -0.72
[2024-02-27 13:43:54.270] -0.47
[2024-02-27 13:43:54.270] -0.53
[2024-02-27 13:43:54.270] -1.03
[2024-02-27 13:43:54.270] -1.16
[2024-02-27 13:43:54.270] -0.50
[2024-02-27 13:43:54.270] 0.22
[2024-02-27 13:43:54.270] 0.31
[2024-02-27 13:43:54.270] -0.25
[2024-02-27 13:43:54.270] -0.63
[2024-02-27 13:43:54.270] -0.34
[2024-02-27 13:43:54.270] 0.75
[2024-02-27 13:43:54.270] 1.50
[2024-02-27 13:43:54.270] 1.56
[2024-02-27 13:43:54.270] 1.22
[2024-02-27 13:43:54.270] 1.37
[2024-02-27 13:43:54.270] 2.53
[2024-02-27 13:43:54.270] 4.06
[2024-02-27 13:43:54.270] 4.53
[2024-02-27 13:43:54.270] 3.47
[2024-02-27 13:43:54.270] 1.56
[2024-02-27 13:43:54.270] 0.19
[2024-02-27 13:43:54.270] -0.44
[2024-02-27 13:43:54.270] -0.84
[2024-02-27 13:43:54.270] -1.16
[2024-02-27 13:43:54.270] -1.25
[2024-02-27 13:43:54.270] -0.63
[2024-02-27 13:43:54.270] 0.78
[2024-02-27 13:43:54.270] 1.91
[2024-02-27 13:43:54.270] 2.16
[2024-02-27 13:43:54.270] 1.53
[2024-02-27 13:43:54.270] 1.41
[2024-02-27 13:43:54.270] 2.13
[2024-02-27 13:43:54.270] 2.66
[2024-02-27 13:43:54.270] 2.22
[2024-02-27 13:43:54.270] 1.00
[2024-02-27 13:43:54.270] 0.22
[2024-02-27 13:43:54.270] 0.25
[2024-02-27 13:43:54.270] 0.66
[2024-02-27 13:43:54.270] 0.72
[2024-02-27 13:43:54.270] 0.09
[2024-02-27 13:43:54.270] -0.50
[2024-02-27 13:43:54.270] -0.63
[2024-02-27 13:43:54.270] -0.03
[2024-02-27 13:43:54.270] 0.78
[2024-02-27 13:43:54.270] 1.53
[2024-02-27 13:43:54.270] 1.84
[2024-02-27 13:43:54.290] 1.44
[2024-02-27 13:43:54.290] 0.37
[2024-02-27 13:43:54.290] -0.81
[2024-02-27 13:43:54.290] -1.37
[2024-02-27 13:43:54.290] -0.84
[2024-02-27 13:43:54.290] -0.19
[2024-02-27 13:43:54.290] 0.22
[2024-02-27 13:43:54.290] -0.41
[2024-02-27 13:43:54.290] -1.19
[2024-02-27 13:43:54.290] -0.97
[2024-02-27 13:43:54.290] 0.59
[2024-02-27 13:43:54.290] 2.41
[2024-02-27 13:43:54.290] 3.13
[2024-02-27 13:43:54.290] 2.56
[2024-02-27 13:43:54.290] 1.53
[2024-02-27 13:43:54.290] 0.69
[2024-02-27 13:43:54.290] -0.06
[2024-02-27 13:43:54.290] -0.91
[2024-02-27 13:43:54.290] -1.44
[2024-02-27 13:43:54.290] -1.00
[2024-02-27 13:43:54.290] 0.34
[2024-02-27 13:43:54.290] 1.69
[2024-02-27 13:43:54.290] 2.06
[2024-02-27 13:43:54.290] 1.50
[2024-02-27 13:43:54.290] 0.41
[2024-02-27 13:43:54.290] -0.50
[2024-02-27 13:43:54.290] -0.88
[2024-02-27 13:43:54.290] -1.00
[2024-02-27 13:43:54.290] -0.75
[2024-02-27 13:43:54.290] -0.12
[2024-02-27 13:43:54.290] 0.88
[2024-02-27 13:43:54.290] 1.78
[2024-02-27 13:43:54.290] 2.06
[2024-02-27 13:43:54.290] 1.44
[2024-02-27 13:43:54.290] 0.09
[2024-02-27 13:43:54.290] -1.00
[2024-02-27 13:43:54.290] -1.12
[2024-02-27 13:43:54.290] -0.19
[2024-02-27 13:43:54.290] 1.06
[2024-02-27 13:43:54.290] 1.72
[2024-02-27 13:43:54.290] 1.16
[2024-02-27 13:43:54.290] 0.16
[2024-02-27 13:43:54.290] -0.31
[2024-02-27 13:43:54.290] 0.06
[2024-02-27 13:43:54.290] 0.88
[2024-02-27 13:43:54.290] 1.34
[2024-02-27 13:43:54.290] 1.09
[2024-02-27 13:43:54.290] 0.12
[2024-02-27 13:43:54.290] -1.22
[2024-02-27 13:43:54.290] -2.13
[2024-02-27 13:43:54.290] -1.88
[2024-02-27 13:43:54.290] -0.37
[2024-02-27 13:43:54.290] 1.37
[2024-02-27 13:43:54.290] 2.09
[2024-02-27 13:43:54.290] 1.47
[2024-02-27 13:43:54.290] 0.19
[2024-02-27 13:43:54.290] -0.22
[2024-02-27 13:43:54.290] 0.81
[2024-02-27 13:43:54.290] 2.66
[2024-02-27 13:43:54.290] 3.69
[2024-02-27 13:43:54.290] 2.88
[2024-02-27 13:43:54.290] 0.88
[2024-02-27 13:43:54.290] -0.69
[2024-02-27 13:43:54.290] -1.06
[2024-02-27 13:43:54.290] -0.22
[2024-02-27 13:43:54.290] 1.09
[2024-02-27 13:43:54.290] 1.81
[2024-02-27 13:43:54.290] 1.69
[2024-02-27 13:43:54.290] 1.37
[2024-02-27 13:43:54.290] 1.53
[2024-02-27 13:43:54.290] 2.47
[2024-02-27 13:43:54.290] 3.34
[2024-02-27 13:43:54.290] 3.28
[2024-02-27 13:43:54.290] 2.28
[2024-02-27 13:43:54.290] 1.12
[2024-02-27 13:43:54.290] 0.47
[2024-02-27 13:43:54.290] -0.03
[2024-02-27 13:43:54.290] -0.50
[2024-02-27 13:43:54.290] -0.97
[2024-02-27 13:43:54.290] -1.31
[2024-02-27 13:43:54.290] -1.41
[2024-02-27 13:43:54.290] -0.94
[2024-02-27 13:43:54.290] 0.09
